NRO;CAP_;CDL;CAT_;PREP_;LOGRADOURO;LOTE;REFERENCIA;PASSEIO;AREA_AZUL;OBSERVACAO;AV_STATUS;AV_SCORE;AV_SIDE;LATITUDE;LONGITUDE
1064;2;8078107;R;;FERNANDO GOMES;37;Lado oposto 38;;;;M;100;R;-30,02612073;-51,20558184
1065;2;8078115;R;;BARAO DE SANTO ANGELO;68;Lado oposto 67;;;;M;100;L;-30,02552312;-51,20583264
1066;2;8078156;R;;HILARIO RIBEIRO;40;;;;;M;100;L;-30,02434806;-51,20636158
1067;3;8078156;R;;HILARIO RIBEIRO;144;;;x;;M;100;L;-30,02486294;-51,20508401
1068;2;8078115;R;;BARAO DE SANTO ANGELO;181;;;;;M;100;R;-30,0245186;-51,20517417
1069;2;8078230;R;;LUCIANA DE ABREU;233;;;x;;M;100;R;-30,02392656;-51,20437532
1070;2;8078115;R;;BARAO DE SANTO ANGELO;299;;;x;;M;100;R;-30,02371029;-51,20471422
1071;2;8078123;R;;DINARTE RIBEIRO;17;Lado oposto 18;;x;;M;100;R;-30,02297252;-51,20412011
1072;2;8078115;R;;BARAO DE SANTO ANGELO;428;;;;;M;100;L;-30,02305921;-51,20443543
1073;2;8078248;R;;MARQUES DO HERVAL;52;;;;;M;100;L;-30,02116858;-51,20388543
1074;2;8078248;R;;MARQUES DO HERVAL;116;;;;;M;100;L;-30,0215152;-51,20331604
1075;2;8078248;R;;MARQUES DO HERVAL;220;;;;;M;100;L;-30,02145231;-51,20216551
1076;2;8079147;R;;FELIX DA CUNHA;925;;;;;M;100;R;-30,0213297;-51,20213552
1077;2;8078248;R;;MARQUES DO HERVAL;316;Lado oposto 315;;;;M;100;L;-30,02140195;-51,20131139
1078;2;8078248;R;;MARQUES DO HERVAL;392;Lado oposto 391;;;;U;0;;;
1079;2;8079188;R;;DR TIMOTEO;642;Ao lado 632;x;;;M;100;L;-30,02077969;-51,19996835
1080;2;8079188;R;;DR TIMOTEO;710;;x;;;M;100;L;-30,02161364;-51,19992231
1081;2;8079188;R;;DR TIMOTEO;782;;x;;;M;100;L;-30,02242514;-51,19985239
1082;2;8079188;R;;DR TIMOTEO;840;;x;;;M;100;L;-30,02283843;-51,19981967
1083;2;8079188;R;;DR TIMOTEO;900;;x;;;M;100;L;-30,02365919;-51,19975851
1084;2;8078263;R;;TOBIAS DA SILVA;160;;;x;;M;100;L;-30,02258316;-51,20014136
1085;2;8078263;R;;TOBIAS DA SILVA;66;;;x;;M;100;L;-30,02269365;-51,20120841
1086;2;8078255;PCA;;DR MAURICIO CARDOSO;129;;;x;;M;100;R;-30,02286499;-51,20216233
1087;2;8079147;R;;FELIX DA CUNHA;1027;Lado oposto 1026;;;;M;100;R;-30,02215439;-51,20207609
1088;2;8078255;PCA;;DR MAURICIO CARDOSO;140;;;x;;M;100;L;-30,0222115;-51,20253324
1089;2;8078255;PCA;;DR MAURICIO CARDOSO;61;;;x;;M;100;R;-30,0229543;-51,20302965
1090;2;8078123;R;;DINARTE RIBEIRO;116;;;x;;M;100;L;-30,02325216;-51,20339459
1091;2;8078123;R;;DINARTE RIBEIRO;212;;;x;;M;100;L;-30,02392566;-51,20217561
1092;2;8079147;R;;FELIX DA CUNHA;1179;;;x;;M;100;R;-30,0232517;-51,20199175
1093;2;8078149;R;;OLAVO BARRETO VIANA;41;;x;;;M;100;R;-30,02400906;-51,2014675
1094;3;8078131;R;;PADRE CHAGAS;397;;;x;;M;100;R;-30,02385998;-51,20192848
1095;3;8078131;R;;PADRE CHAGAS;311;;;x;;M;100;R;-30,02451354;-51,20270983
1096;2;8078230;R;;LUCIANA DE ABREU;417;;;x;;M;100;R;-30,02518521;-51,20279333
1097;2;8078230;R;;LUCIANA DE ABREU;323;;;x;;M;100;R;-30,02453457;-51,20349845
1098;2;8078131;R;;PADRE CHAGAS;185;;;x;;M;100;R;-30,02534183;-51,20373338
1099;2;8078156;R;;HILARIO RIBEIRO;300;;;;;M;100;L;-30,02594069;-51,20374346
1100;3;8078156;R;;HILARIO RIBEIRO;180;Ao lado 214;;x;;M;100;L;-30,02507506;-51,20467968
1101;2;8078230;R;;LUCIANA DE ABREU;131;;;;;M;100;R;-30,02351371;-51,20534757
1102;3;8078131;R;;PADRE CHAGAS;79;;;x;;M;100;R;-30,02597236;-51,20452474
