NRO;CAP_;CDL;CAT_;PREP_;LOGRADOURO;LOTE;REFERENCIA;PASSEIO;AREA_AZUL;OBSERVACAO;AV_STATUS;AV_SCORE;AV_SIDE;LATITUDE;LONGITUDE
870;2;7877343;R;;SARMENTO LEITE;880;;;;;M;100;L;-30,03572746;-51,22272103
871;2;7877228;R;;GEN LIMA E SILVA;440;;;;;M;100;L;-30,03734776;-51,22266693
872;2;7877277;R;;SOFIA VELOSO;68;;;;;M;100;L;-30,03690771;-51,22229551
873;2;7877277;R;;SOFIA VELOSO;162;;;;;M;100;L;-30,03642275;-51,22161939
874;2;7877293;R;DA;REPUBLICA;266;Lado oposto 267;;;;U;0;;;
875;2;7877293;R;DA;REPUBLICA;210;;;;;M;100;L;-30,03767403;-51,22209672
876;2;7877293;R;DA;REPUBLICA;112;;;;;M;100;L;-30,03715039;-51,22136305
877;2;7877293;R;DA;REPUBLICA;42;;;;;M;100;L;-30,03662885;-51,22062085
878;2;7877186;AV;;JOAO PESSOA;449;;x;;;M;100;R;-30,03619322;-51,22024459
879;2;7877186;AV;;JOAO PESSOA;389;;x;;;M;100;R;-30,0355265;-51,22074452
880;2;7877350;AV;;PAULO GAMA;10;Creche, Inst. Educacao;;;;M;100;L;-30,03266495;-51,21918503
881;3;7877194;PRQ;;FARROUPILHA;100;APROXIMADO;;;;M;100;L;-30,03951922;-51,21766428
882;3;7877194;PRQ;;FARROUPILHA;200;APROXIMADO;;;;M;100;L;-30,0387541;-51,21826509
883;2;7877186;AV;;JOAO PESSOA;547;Necessidade placa PE;x;;Alterado em 21/06/11 da via para o passeio;M;100;R;-30,03663125;-51,21992922
884;2;7977218;AV;;PROTASIO ALVES;52;;x;;;M;100;L;-30,0370516;-51,2076656
885;2;8077018;R;;FRANCISCO FERRER;470;;;x;;M;100;L;-30,03668566;-51,20725623
886;2;7977218;AV;;PROTASIO ALVES;134;;x;;;M;100;L;-30,03717691;-51,20684947
887;2;8077026;R;;GIORDANO BRUNO;345;;;x;;M;100;R;-30,03674893;-51,20658237
888;2;7977218;AV;;PROTASIO ALVES;208;;x;;;M;100;L;-30,03729375;-51,206035
889;2;7977218;AV;;PROTASIO ALVES;274;;x;;;M;100;L;-30,03739102;-51,20534435
890;2;8077091;R;;SAO MANOEL;456;;;;;M;100;L;-30,03798803;-51,2049189
891;2;8077091;R;;SAO MANOEL;550;;;;;M;100;L;-30,03884714;-51,20495201
892;2;8077091;R;;SAO MANOEL;626;;;;;M;100;L;-30,03954174;-51,20497878
893;2;8077091;R;;SAO MANOEL;710;;;;;M;100;L;-30,04030946;-51,20500836
894;2;8076044;R;;DONA EUGENIA;76;Lado oposto 75;;;;M;100;L;-30,04071997;-51,20351605
895;2;8077091;R;;SAO MANOEL;854;Ao lado 844;;;;M;100;L;-30,04158887;-51,20505722
896;2;8076028;R;;FELIPE DE OLIVEIRA;10;;;;;M;100;L;-30,04228129;-51,20466314
897;2;8077075;R;;SILVA SO;427;;x;;;M;100;R;-30,04180105;-51,20411597
898;3;8077075;R;;SILVA SO;269;;;x;;M;100;R;-30,04062986;-51,20408243
899;3;8077075;R;;SILVA SO;201;;;x;;M;100;R;-30,03990893;-51,20407227
900;3;8077075;R;;SILVA SO;139;;;;;M;100;R;-30,03929558;-51,20396802
901;3;8077075;R;;SILVA SO;59;;;x;;M;100;R;-30,03850302;-51,20395878
902;3;8078032;R;;MARIANTE;1019;;;x;;M;100;R;-30,03727094;-51,20431601
903;3;8078032;R;;MARIANTE;941;;;x;;M;100;R;-30,03630187;-51,20429967
904;2;8077083;TRAV;;HELENA SPEROTTO;228;;;;;U;0;;;
