MÊS;ANO_2010;ANO_2011;ANO_2012;ANO_2013
JANEIRO;493937;575580;648337;627632
FEVEREIRO;429845;520359;577844;534830
MARÇO;472282;585236;612253;602607
ABRIL;476774;609056;612402;580491
MAIO;478501;588752;608677;
JUNHO;471594;542073;614018;
JULHO;551344;664820;725840;
AGOSTO;557185;622002;645287;
SETEMBRO;561264;638110;631746;
OUTUBRO;560949;618205;634846;
NOVEMBRO;575163;653694;646700;
DEZEMBRO;589480;651050;648575;
