EndereÃ§o;Complemento;Cidade;Estado;CÃ³digoPostal;Name;Telefone;Bairro;RegiÃ£o OP;URL;Tipo;Categoria;Latitude;Longitude;EndereÃ§o Formatado
Av. Augusto Meyer, 146;;Porto Alegre;RS;90550-110;Teatro do Sinduscon RS;(51)3021-3448;Higienopolis;NOROESTE;http://www.teatrosindusconrs.com.br/;ESPAÃ‡O CULTURAL;;-30,021540236589;-51,184626018724;Av. Augusto Meyer, 146 Porto Alegre, RS 90550-110
Av. Baltazar de Oliveira Garcia, 2132;;Porto Alegre;RS;91130-000;Biblioteca PÃºblica Estadual do Centro HumanÃ­stico Vida ;(51)3344-3960;Sarandi;NORTE;http://www.fgtas.rs.gov.br/portal/index.php?menu=programa_viz&cod_noticia=599;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;livro, leitura, cultura digital;-30,011487116614;-51,127650478197;Av. Baltazar de Oliveira Garcia, 2132 Porto Alegre, RS 91130-000
Av. Benjamin Constant, 1773;;Porto Alegre;RS;90550-002;Cine Teatro Presidente;;Sao Geraldo;HUMAITA/NAVEGANTES;;ESPAÃ‡O CULTURAL;;-30,016555960567;-51,197057963561;Av. Benjamin Constant, 1773 Porto Alegre, RS 90550-002
Av. Bento GonÃ§alves, 1129;;Porto Alegre;RS;90650-000;Arquivo HistÃ³rico de Porto Alegre MoysÃ©s Vellinho;(51)3219-7900;Santo Antonio;PARTENON;http://www2.portoalegre.rs.gov.br/smc/default.php?reg=10&p_secao=19;ESPAÃ‡O CULTURAL;PATRIMONIO;-30,053958227243;-51,200833488231;Av. Bento GonÃ§alves, 1129 Porto Alegre, RS 90650-000
Av. Bento GonÃ§alves, 2460;;Porto Alegre;RS;90650-003;Memorial da Loucura Hospital SÃ£o Pedro;(51)3336-5162;Partenon;PARTENON;;ESPAÃ‡O CULTURAL;;-30,060845951107;-51,190289441498;Av. Bento GonÃ§alves, 2460 Porto Alegre, RS 90650-003
Av. Bento GonÃ§alves, 7712; PrÃ©dio 41301;Porto Alegre;RS;90540-000;Biblioteca UFRGS Agronomia;(51)3308-7456;Agronomia;LOMBA DO PINHEIRO;http://www6.ufrgs.br/agronomia/novo/index.php?p=biblioteca/inicio.php;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;livro, leitura;-30,078847896883;-51,116474079334;Avenida Bento GonÃ§alves, 7712 - Agronomia, Porto Alegre - RS, 90540-000, RepÃºblica Federativa do Brasil
Av. Bento GonÃ§alves, 9090; PrÃ©dio 42602;Porto Alegre;RS;90035-007;Biblioteca UFRGS Veterinaria;(51)3308-6118;Santana;CENTRO;http://www.ufrgs.br/bibvet/;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;livro, leitura;-30,077011718494;-51,128873133473;Avenida Bento GonÃ§alves, 9090 - Agronomia, Porto Alegre - RS, 90540-000, RepÃºblica Federativa do Brasil
Av. Bento GonÃ§alves, 9500;;Porto Alegre;RS;90540-000;Museu de Paleontologia do RS Instituto de GeociÃªncias da UFRGS ;(51)3316-6578;Agronomia;LOMBA DO PINHEIRO;http://www.ufrgs.br/geociencias/;ESPAÃ‡O CULTURAL;;-30,076997799635;-51,128869676133;Av. Bento GonÃ§alves, 9500 Porto Alegre, RS 90540-000
Av. Bento GonÃ§alves, 9500;;Porto Alegre;RS;90540-000;Museu de Topografia professor Laureano Ibrahim Chaffe UFRGS;;Agronomia;LOMBA DO PINHEIRO;www.ufrgs.br/museudetopografia;ESPAÃ‡O CULTURAL;;-30,077001898286;-51,128869946203;Av. Bento GonÃ§alves, 9500 Porto Alegre, RS 90540-000
Av. Bento GonÃ§alves, 9500; PrÃ©dio 43423;Porto Alegre;RS;91501-970;Biblioteca UFRGS BiociÃªncias;(51)3308-7645;Agronomia;LOMBA DO PINHEIRO;http://www.ufrgs.br/bibbio/;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;livro, leitura;-30,077007838566;-51,128874333074;Avenida Bento GonÃ§alves, 9500 - Agronomia, Porto Alegre - RS, 90540-000, RepÃºblica Federativa do Brasil
Av. Bento GonÃ§alves, 9500;setor 6;Porto Alegre;RS;91501-970;Biblioteca UFRGS CENTRO DE TECNOLOGIA DA ESCOLA DE ENGENHARIA (CTENG);(51)3308-6534;Agronomia;LOMBA DO PINHEIRO;http://www.ct.ufrgs.br/;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;livro, leitura;-30,077010010082;-51,128880271592;Av. Bento GonÃ§alves, 9500 Porto Alegre, RS 91501-970
Av. Bento GonÃ§alves, 9500; PrÃ©dio 43122 ;Porto Alegre;RS;90035-007;Biblioteca UFRGS Quimica;(51)3308-6280;Santana;CENTRO;http://www.iq.ufrgs.br/biblioteca/;ESPAÃ‡O DE FORMAÃ‡ÃƒO CULTURAL;livro, leitura;-30,077015218663;-51,128868435794;Avenida Bento GonÃ§alves, 9500 - Agronomia, Porto Alegre - RS, 90540-000, RepÃºblica Federativa do Brasil
